UserID,Name,Email,Password,Age,Gender,Hobbies,Shoe Color Preference,Shoe Brand Preference,Price Range Preference,country,purchased_history
16,Michael Collins,michael.collins@mail.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,48,Male,Hiking,WHITE,PUMA,1360,Pakistan,"[246, 92]"
17,Abigail Lee,abigail.lee@demo.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,53,Male,Hiking,GREEN,Salomon,1906,China,"[232, 89, 195, 55, 51, 132, 226]"
18,Charlotte Phillips,charlotte.phillips@mail.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,46,Other,Hiking,GREEN,Ralph Lauren,1463,Malaysia,"[158, 137, 191]"
19,Emily Edwards,emily.edwards@demo.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,62,Male,Travelling,NAVY,VANS,1559,Sri Lanka,"[116, 36, 224, 204, 73, 203, 58, 17]"
20,Steven Rodriguez,steven.rodriguez@gmail.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,30,Female,Hiking,BEIGE,Converse,1363,Singapore,[31]
21,James Lee,james.lee@yahoo.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,58,Male,Dancing,MAROON,UGG,971,Singapore,"[50, 205]"
22,Lillian Lopez,lillian.lopez@mail.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,32,Male,Sports,MAROON,Timberland,1896,Pakistan,"[157, 121, 87, 80, 139, 187, 129, 57]"
23,Alexander Garcia,alexander.garcia@gmail.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,30,Male,Hiking,BLUE,PUMA,1517,Indonesia,"[115, 111, 61]"
24,Thomas Harris,thomas.harris@yahoo.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,23,Female,Travelling,TAN,Adidas,1344,Japan,"[28, 173]"
25,Christopher Hernandez,christopher.hernandez@yahoo.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,22,Male,Hiking,OLIVE,Clarks,1549,Pakistan,"[104, 78, 225, 228, 151, 28, 44, 169, 124]"
26,Michael Wilson,michael.wilson@gmail.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,30,Female,Dancing,GREEN,Birkenstock,875,Pakistan,"[221, 206, 51]"
27,Emma Hall,emma.hall@yahoo.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,58,Female,Travelling,PINK,Converse,1822,Uzbekistan,"[85, 107, 151, 113, 221, 194, 241]"
28,Emma Turner,emma.turner@gmail.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,20,Male,Travelling,ORANGE,VANS,559,Japan,"[202, 1, 22, 155, 18, 151, 148, 141]"
29,Thomas Johnson,thomas.johnson@gmail.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,45,Male,Hiking,YELLOW,New Balance,1941,Malaysia,"[125, 197, 108, 104]"
30,Michael Hernandez,michael.hernandez@gmail.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,59,Female,Dancing,ORANGE,Salomon,633,Pakistan,"[90, 34, 120, 162, 218]"
31,Ethan Perez,ethan.perez@yahoo.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,64,Other,Hiking,PINK,Asics,1053,Turkey,"[220, 122, 93, 137, 207, 95, 89, 206, 204, 211]"
32,Robert Davis,robert.davis@demo.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,44,Female,Dancing,GOLD,Birkenstock,1482,Kyrgyzstan,"[49, 119, 65, 98]"
33,Robert Collins,robert.collins@demo.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,45,Female,Travelling,WHITE,Clarks,1678,Bangladesh,"[71, 151, 65, 7, 195, 100, 87, 232]"
34,Emma Walker,emma.walker@gmail.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,23,Female,Hiking,MAROON,VANS,1904,Japan,"[64, 98, 66, 123, 110, 171, 189]"
35,Chloe Martinez,chloe.martinez@mail.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,33,Male,Dancing,WHITE,Under Armour,943,Uzbekistan,"[108, 213, 100, 163]"
36,Alexander Moore,alexander.moore@mail.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,46,Other,Travelling,OLIVE,Under Armour,1877,Israel,"[139, 35, 3, 209]"
37,Harper Hall,harper.hall@yahoo.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,50,Female,Dancing,GREEN,Nike,1696,Japan,"[86, 180, 35, 80, 108, 209, 131, 141, 31]"
38,Sophia Lee,sophia.lee@gmail.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,25,Female,Sports,BROWN,Adidas,1669,Afghanistan,"[153, 121, 175, 39, 127]"
39,Anthony Green,anthony.green@gmail.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,37,Male,Sports,MULTICOLOR,Dr. Martens,1252,Pakistan,"[181, 40, 89, 148, 174, 207, 93, 243]"
40,Abigail Martin,abigail.martin@yahoo.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,24,Male,Hiking,GREEN,Adidas,1900,Afghanistan,"[167, 73, 191, 156, 243, 216]"
41,Andrew Clark,andrew.clark@gmail.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,50,Other,Hiking,NAVY,Nike,675,South Korea,"[71, 42, 134, 139]"
42,Scarlett Thompson,scarlett.thompson@demo.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,26,Female,Hiking,WHITE,Timberland,1915,Russia,"[201, 154, 192, 206, 106, 4, 100, 130, 35]"
43,Christopher Edwards,christopher.edwards@yahoo.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,51,Male,Hiking,WHITE,Asics,265,Iran,"[247, 133, 123, 154, 174, 160, 100, 93, 122, 189]"
44,Chloe Carter,chloe.carter@gmail.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,18,Other,Sports,TAN,UGG,505,Qatar,"[205, 237, 241, 208, 159, 43]"
45,David Lee,david.lee@yahoo.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,46,Other,Hiking,GOLD,New Balance,450,Qatar,[195]
46,Avery Nelson,avery.nelson@gmail.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,62,Female,Hiking,NAVY,Ralph Lauren,920,China,"[155, 238, 247]"
47,David Mitchell,david.mitchell@gmail.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,59,Female,Dancing,MULTICOLOR,Asics,1468,Pakistan,[188]
48,Isabella Harris,isabella.harris@gmail.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,49,Other,Dancing,TEAL,Salomon,366,United Arab Emirates,"[84, 89, 188, 171, 221, 213, 220, 201]"
49,Ryan Thompson,ryan.thompson@demo.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,25,Other,Travelling,YELLOW,Skechers,3,Pakistan,"[248, 141, 45, 112, 72, 146, 63]"
50,Avery King,avery.king@yahoo.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,53,Female,Dancing,TAN,PUMA,877,Afghanistan,"[35, 42, 236, 122, 199, 66, 108, 118, 24]"
51,Lily Nelson,lily.nelson@demo.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,38,Male,Dancing,BLUE,Timberland,1864,Sri Lanka,"[68, 163]"
52,Mia Smith,mia.smith@demo.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,65,Other,Travelling,YELLOW,Asics,737,Iran,"[209, 157, 227, 163, 243, 48, 114, 93]"
53,Amelia Wilson,amelia.wilson@yahoo.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,58,Female,Travelling,GREEN,Skechers,1113,Pakistan,"[217, 126, 246, 77, 190]"
54,Emily Hill,emily.hill@demo.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,61,Male,Sports,TAN,Merrell,671,Turkey,"[30, 65, 172, 121]"
55,Chris Rodriguez,chris.rodriguez@gmail.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,30,Other,Dancing,MAROON,Ralph Lauren,1757,Bangladesh,"[201, 167, 38, 31, 83, 215]"
56,Ava Carter,ava.carter@gmail.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,65,Male,Dancing,WHITE,Dr. Martens,463,Iran,"[44, 12, 56, 110, 78, 70, 77]"
57,Chris Rodriguez,chris.rodriguez@mail.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,63,Other,Sports,GREEN,Reebok,1385,Pakistan,"[96, 116, 121, 141, 137, 198, 134, 112, 25, 133]"
58,Emma Taylor,emma.taylor@yahoo.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,58,Other,Hiking,PURPLE,VANS,1165,Turkey,"[174, 223, 34, 91, 159, 190, 57]"
59,Mia Hernandez,mia.hernandez@gmail.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,60,Other,Sports,PINK,UGG,1962,Pakistan,"[107, 113]"
60,Amelia Miller,amelia.miller@mail.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,57,Other,Sports,YELLOW,Adidas,1015,Turkmenistan,"[42, 51, 28, 241, 66, 22, 144]"
61,Steven Wilson,steven.wilson@yahoo.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,28,Female,Hiking,GREEN,PUMA,627,Bangladesh,"[121, 2, 231, 244, 39, 32, 209, 222]"
62,Thomas Campbell,thomas.campbell@gmail.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,40,Male,Travelling,MAROON,Merrell,1470,Kazakhstan,"[124, 209, 149, 3, 108, 88, 40]"
63,Emily Phillips,emily.phillips@gmail.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,39,Other,Hiking,OLIVE,Brooks,1344,Bangladesh,"[112, 123]"
64,Sofia Thomas,sofia.thomas@mail.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,44,Male,Dancing,OLIVE,Ralph Lauren,896,Kuwait,"[22, 52, 174, 90, 67]"
65,William Clark,william.clark@gmail.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,60,Male,Travelling,RED,Converse,1776,Kuwait,[235]
66,Daniel Perez,daniel.perez@yahoo.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,47,Male,Hiking,WHITE,Dr. Martens,1164,Uzbekistan,"[146, 80, 134, 99, 177, 52]"
67,Robert Evans,robert.evans@demo.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,45,Other,Sports,TAN,Ralph Lauren,518,Malaysia,"[78, 103]"
68,Joshua King,joshua.king@demo.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,51,Female,Travelling,WHITE,Adidas,1162,Afghanistan,"[200, 3, 55]"
69,Daniel King,daniel.king@yahoo.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,23,Male,Travelling,WHITE,Salomon,243,Afghanistan,"[180, 195, 26, 194]"
70,Robert White,robert.white@gmail.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,59,Male,Hiking,TEAL,Skechers,1881,India,"[242, 130]"
71,Ryan Wright,ryan.wright@yahoo.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,29,Male,Dancing,BLUE,Merrell,756,Qatar,"[177, 203, 212]"
72,Mia Lee,mia.lee@yahoo.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,52,Female,Sports,GOLD,Converse,969,Uzbekistan,"[82, 240, 162]"
73,Hannah Carter,hannah.carter@demo.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,46,Female,Dancing,BLACK,PUMA,94,Malaysia,"[180, 52, 146, 171, 168]"
74,Mia Martin,mia.martin@yahoo.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,64,Female,Dancing,NAVY,Under Armour,101,Indonesia,"[121, 212, 218, 176, 42, 142, 1, 22]"
75,Isabella Moore,isabella.moore@yahoo.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,18,Female,Travelling,PINK,Asics,1913,Pakistan,"[85, 170, 120, 17, 115, 245, 13, 84]"
76,Evelyn Clark,evelyn.clark@yahoo.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,23,Female,Dancing,PINK,PUMA,1580,Turkmenistan,"[193, 200, 111, 7, 44, 210, 23, 97, 167]"
77,Mike Edwards,mike.edwards@gmail.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,62,Female,Dancing,ORANGE,Merrell,979,Turkmenistan,"[221, 215, 1, 200, 123]"
78,Matthew Martinez,matthew.martinez@yahoo.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,20,Other,Sports,WHITE,Converse,1496,Turkey,"[72, 219, 43, 13, 231]"
79,Ethan Gonzalez,ethan.gonzalez@gmail.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,43,Male,Dancing,MULTICOLOR,Brooks,542,Malaysia,"[110, 83, 69]"
80,Mike Lewis,mike.lewis@demo.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,30,Female,Travelling,WHITE,Dr. Martens,1703,Qatar,"[107, 57, 37]"
81,Olivia Perez,olivia.perez@yahoo.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,49,Male,Dancing,PINK,Reebok,1018,China,"[210, 60, 156]"
82,Kevin Thompson,kevin.thompson@yahoo.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,62,Female,Hiking,GRAY,Reebok,24,Kuwait,"[181, 170, 19, 87, 180, 207, 218, 88]"
83,Mark Hall,mark.hall@yahoo.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,39,Other,Hiking,MULTICOLOR,Reebok,1470,Malaysia,"[119, 232]"
84,John Collins,john.collins@gmail.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,63,Female,Hiking,MULTICOLOR,PUMA,1190,Jordan,"[35, 236, 242, 76, 32, 129, 22]"
85,Evelyn Wilson,evelyn.wilson@demo.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,20,Female,Dancing,MULTICOLOR,Adidas,1658,Malaysia,"[19, 71, 12, 16]"
86,Amelia Robinson,amelia.robinson@demo.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,18,Other,Travelling,TAN,Ralph Lauren,224,Turkey,"[7, 69, 108, 204, 197, 124, 60]"
87,Lily Taylor,lily.taylor@yahoo.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,25,Other,Hiking,TAN,PUMA,128,Israel,[135]
88,Amelia Martinez,amelia.martinez@gmail.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,63,Male,Dancing,WHITE,Merrell,1492,Uzbekistan,"[173, 215, 116, 63, 240, 227, 141, 119, 219, 224]"
89,Lillian Martin,lillian.martin@mail.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,38,Male,Sports,MAROON,Dr. Martens,1010,Kyrgyzstan,"[236, 152, 234, 40, 161, 122, 185, 187]"
90,Avery Wilson,avery.wilson@mail.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,19,Male,Hiking,SILVER,Timberland,730,Singapore,"[16, 3, 58, 199, 227, 68, 42]"
91,Chris Collins,chris.collins@gmail.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,57,Male,Travelling,YELLOW,Brooks,365,Kyrgyzstan,"[131, 44, 114, 221, 67, 172, 213, 42]"
92,Alexander Perez,alexander.perez@demo.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,22,Other,Sports,GOLD,Salomon,58,Pakistan,[47]
93,William Hill,william.hill@mail.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,55,Other,Travelling,GREEN,Nike,1116,Pakistan,"[65, 168, 185]"
94,Jacob Carter,jacob.carter@mail.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,32,Female,Travelling,BEIGE,Merrell,477,Singapore,"[44, 202, 142]"
95,Kevin Roberts,kevin.roberts@yahoo.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,31,Male,Hiking,BEIGE,Brooks,645,Kazakhstan,"[89, 120, 125, 56, 150, 48, 139, 24]"
96,Evelyn Rodriguez,evelyn.rodriguez@gmail.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,42,Other,Travelling,MAROON,Adidas,107,Jordan,"[208, 216, 51, 162]"
97,Andrew Nelson,andrew.nelson@yahoo.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,46,Female,Travelling,ORANGE,UGG,367,Qatar,"[93, 57, 238, 232, 244, 70]"
98,Avery Thompson,avery.thompson@yahoo.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,27,Male,Travelling,NAVY,PUMA,704,Qatar,"[181, 166]"
99,Daniel Allen,daniel.allen@gmail.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,50,Other,Dancing,GOLD,Dr. Martens,420,Pakistan,"[24, 137, 65, 81, 68, 218, 144, 44, 153, 248]"
100,Mike Robinson,mike.robinson@yahoo.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,48,Male,Sports,PINK,Reebok,1469,Pakistan,"[18, 234, 113, 138, 246, 230, 85, 180, 146]"
101,Evelyn Clark,evelyn.clark@demo.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,63,Female,Hiking,RED,Clarks,956,Iran,"[162, 55]"
102,Anthony White,anthony.white@mail.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,55,Male,Travelling,BROWN,Timberland,1064,Pakistan,"[6, 111, 112, 97, 196, 225, 35, 48, 180]"
103,William Thomas,william.thomas@yahoo.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,39,Female,Sports,BEIGE,Timberland,436,Russia,"[98, 185]"
104,David Allen,david.allen@mail.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,29,Other,Sports,BROWN,VANS,657,Kazakhstan,"[231, 151, 228]"
105,Olivia Garcia,olivia.garcia@gmail.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,20,Male,Sports,ORANGE,Reebok,1518,Israel,"[38, 124, 228, 37, 34, 141]"
106,Joshua Rodriguez,joshua.rodriguez@gmail.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,43,Male,Travelling,BLACK,Salomon,230,Pakistan,"[37, 83, 154, 18, 138, 73, 237]"
107,Ava Taylor,ava.taylor@demo.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,51,Other,Sports,MAROON,Birkenstock,1871,India,"[133, 240, 166, 147, 165, 113, 90, 123, 77]"
108,Mike Lopez,mike.lopez@yahoo.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,27,Female,Travelling,GOLD,Clarks,1071,Pakistan,"[19, 49, 246, 31, 75, 44, 57]"
109,Olivia Mitchell,olivia.mitchell@demo.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,30,Female,Travelling,BLUE,Dr. Martens,622,Sri Lanka,"[30, 242, 214, 108, 182, 226, 183]"
110,Chris Green,chris.green@mail.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,58,Male,Travelling,RED,Timberland,1028,Iran,"[238, 42, 63, 22, 221]"
111,Jacob Wilson,jacob.wilson@yahoo.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,42,Female,Sports,BROWN,PUMA,1139,Pakistan,"[69, 150, 195]"
112,Scarlett Campbell,scarlett.campbell@yahoo.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,21,Other,Dancing,PINK,New Balance,670,Jordan,"[24, 22, 178, 27, 19, 176, 105, 32, 55, 183]"
113,William Williams,william.williams@gmail.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,64,Male,Dancing,GRAY,Adidas,1516,Pakistan,[14]
114,Mila Clark,mila.clark@demo.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,61,Female,Travelling,PURPLE,Nike,1281,Russia,"[204, 196, 44, 94, 68, 144]"
115,Harper Edwards,harper.edwards@gmail.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,62,Male,Hiking,NAVY,Ralph Lauren,459,Sri Lanka,"[142, 203, 173, 132, 122, 226, 104, 131, 179]"
116,John Wright,john.wright@demo.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,50,Male,Travelling,TEAL,Fila,1718,Turkey,"[191, 150, 52, 164, 221, 173, 19, 124, 226, 119]"
117,Mike White,mike.white@mail.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,22,Male,Sports,SILVER,Fila,353,Indonesia,"[94, 152, 239, 186, 194, 24, 123]"
118,Scarlett Hernandez,scarlett.hernandez@yahoo.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,49,Male,Dancing,TAN,New Balance,1324,Israel,"[194, 68, 44, 1]"
119,Scarlett Jones,scarlett.jones@demo.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,33,Female,Travelling,TAN,Converse,1670,Kyrgyzstan,"[89, 121, 161, 39, 60, 245, 189, 168, 136, 86]"
120,Ryan Turner,ryan.turner@yahoo.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,64,Other,Sports,SILVER,Adidas,351,Pakistan,[94]
121,Robert Rodriguez,robert.rodriguez@yahoo.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,35,Female,Sports,NAVY,Timberland,1715,Sri Lanka,"[100, 121, 189, 224, 66, 244]"
122,Ella Thomas,ella.thomas@gmail.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,47,Other,Hiking,OLIVE,New Balance,1769,Pakistan,"[180, 215, 24]"
123,Thomas Lopez,thomas.lopez@yahoo.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,42,Other,Travelling,PURPLE,Dr. Martens,347,Pakistan,"[93, 245]"
124,Ryan Edwards,ryan.edwards@yahoo.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,20,Male,Travelling,WHITE,Converse,663,Uzbekistan,[23]
125,Joshua King,joshua.king@demo.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,31,Male,Travelling,TAN,Adidas,1398,Pakistan,"[169, 86, 77, 51]"
126,Sophia Wilson,sophia.wilson@gmail.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,36,Other,Sports,GOLD,Adidas,1914,Pakistan,"[160, 197, 145, 126, 147]"
